N_camera;Tipo;Occupanti;Cognome_1;Nome_1;Cognome_2;Nome_2;Note;Esenzione_tassa_soggiorno
1;Singola;1;;;;;;
2;Singola;1;;;;;;
3;Singola;1;;;;;;
4;Singola;1;;;;;;
5;Singola;1;;;;;;
6;Singola;1;;;;;;
7;Doppia;2;;;;;;
8;Doppia;2;;;;;;
9;Doppia;2;;;;;;
10;Doppia;2;;;;;;
11;Doppia;2;;;;;;
12;Doppia;2;;;;;;
13;Doppia;2;;;;;;
14;Doppia;2;;;;;;
15;Doppia;2;;;;;;
16;Doppia;2;;;;;;
17;Doppia;2;;;;;;
18;Doppia;2;;;;;;
19;Doppia;2;;;;;;
20;Doppia;2;;;;;;
21;Doppia;2;;;;;;
22;Doppia;2;;;;;;
23;Doppia;2;;;;;;
24;Doppia;2;;;;;;
25;Doppia uso singola;1;;;;;Letto libero - accompagnatore/capogruppo;
